-----------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,
Server,listening,on,5201,,,,,,,,,,,,,,,,,,,,,
-----------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,connection,from,"10.45.0.14,",port,46458,,,,,,,,,,,,,,,,,,,
[,5],local,10.45.0.1,port,5201,connected,to,10.45.0.14,port,46460,,,,,,,,,,,,,,
[,5],76.00-77.00,sec,548,KBytes,4.49,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],77.00-78.00,sec,515,KBytes,4.22,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],78.00-79.00,sec,525,KBytes,4.3,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],79.00-80.00,sec,527,KBytes,4.31,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],80.00-81.00,sec,524,KBytes,4.29,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],81.00-82.00,sec,529,KBytes,4.34,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],82.00-83.00,sec,507,KBytes,4.15,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],83.00-84.00,sec,516,KBytes,4.23,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],84.00-85.00,sec,538,KBytes,4.41,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],85.00-86.00,sec,553,KBytes,4.53,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],86.00-87.00,sec,565,KBytes,4.63,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],87.00-88.00,sec,546,KBytes,4.48,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],88.00-89.00,sec,545,KBytes,4.46,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],89.00-90.00,sec,525,KBytes,4.3,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],90.00-91.00,sec,536,KBytes,4.39,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],91.00-92.00,sec,545,KBytes,4.46,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],92.00-93.00,sec,521,KBytes,4.27,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],93.00-94.00,sec,529,KBytes,4.34,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],94.00-95.00,sec,562,KBytes,4.6,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],95.00-96.00,sec,540,KBytes,4.42,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],96.00-97.00,sec,544,KBytes,4.45,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],97.00-98.00,sec,540,KBytes,4.42,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],98.00-99.00,sec,554,KBytes,4.54,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],99.00-100.00,sec,548,KBytes,4.4,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],100.00-101.00,sec,556,KBytes,4.55,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],101.00-102.00,sec,548,KBytes,4.49,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],102.00-103.00,sec,558,KBytes,4.57,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],103.00-104.00,sec,558,KBytes,4.57,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],104.00-105.00,sec,546,KBytes,4.48,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],105.00-106.00,sec,527,KBytes,4.31,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],106.00-107.00,sec,553,KBytes,4.53,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],107.00-108.00,sec,561,KBytes,4.59,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],108.00-109.00,sec,521,KBytes,4.27,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],109.00-110.00,sec,533,KBytes,4.37,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],110.00-111.00,sec,525,KBytes,4.3,Mbits/sec,,,,,,,,,,,,,,,,,
